,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
143,3325.90,OS,VIE,MUC,2024-11-01T09:25:00,2024-11-01T10:25:00,PT8H15M
144,3359.95,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
145,3359.95,LH,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H30M
146,3359.95,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
147,3359.95,LH,VIE,FRA,2024-11-01T11:20:00,2024-11-01T12:50:00,PT6H40M
148,3359.95,LH,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT7H
149,3359.95,LH,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT7H30M
150,3364.95,OS,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
151,3364.95,OS,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H5M
152,3364.95,OS,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
153,3364.95,OS,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT6H35M
154,14298.80,AF,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
155,14298.80,AF,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
156,14298.80,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
157,14298.80,AF,VIE,CDG,2024-11-01T09:40:00,2024-11-01T11:50:00,PT5H45M
158,14298.80,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT9H10M
159,14337.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
160,14337.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
161,14337.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
162,14337.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
163,14337.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
164,14337.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
165,14337.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
166,14342.85,AF,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
167,14342.85,AF,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H5M
168,14342.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
169,14342.85,AF,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
170,14342.85,AF,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT6H35M
171,14342.85,AF,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
172,14342.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
173,14342.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
174,14342.85,AF,VIE,CDG,2024-11-01T06:15:00,2024-11-01T08:30:00,PT5H15M
175,14682.40,AF,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT5H35M
176,14682.40,AF,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT7H25M
